name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
Eric_Dier_361,0,0,0,0,0,0,0,0,0,0.0,0,0,361,0,0,199,0,0,0,0.0,10754,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,20,0,0,0,0,0,0,20,0,72551,0,0,0,3,1,0.0,0,-5324,95,5419,48,True,0,0,20
Erik_Durm_461,0,28,0,0,0,8,0,4,18,1.6,1,0,461,0,0,194,0,1,0,2.2,10854,8.2,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,1,0,9,0,0,0,0,5,0,20,0,7274,1,0,0,0,1,12.0,2,-328,47,375,44,False,0,0,20
Erik_Lamela_363,0,0,0,0,0,0,0,0,0,0.0,0,0,363,0,0,199,0,0,0,0.0,10756,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,20,0,0,0,0,0,0,20,0,28306,0,0,0,3,1,0.0,0,-2472,1863,4335,62,True,0,0,20
Ethan_Ampadu_130,0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,193,0,0,0,0.0,10523,0.0,0,2018-12-30T12:00:00Z,30 Dec 12:00,0,0,0,0,0,7,0,0,0,0,0,0,20,0,2736,0,0,0,1,0,0.0,0,-13,40,53,44,False,0,0,20
Etienne_Capoue_389,0,85,0,0,0,16,0,8,74,3.8,2,0,389,0,0,200,2,1,0,2.9,10782,25.6,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,0,0,15,0,0,0,0,5,0,20,0,33346,1,1,0,1,1,0.0,2,-515,1305,1820,49,True,0,0,20
Ezequiel_Schelotto_53,0,0,0,0,0,0,0,0,0,0.0,0,0,53,0,0,191,0,0,0,0.0,10446,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,8,0,0,0,0,0,0,20,0,108508,0,0,0,0,1,0.0,0,1694,4262,2568,38,True,0,0,20
Fabian_Delph_269,0,0,0,0,0,0,0,0,0,0.0,0,0,269,0,0,198,0,0,0,0.0,10662,0.0,0,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,0,0,0,16,0,0,0,0,0,0,20,0,24278,0,0,0,3,1,0.0,0,-27112,230,27342,53,False,0,0,20
Fabian_Schär_482,0,5,0,0,0,3,0,13,4,0.0,0,0,482,0,0,200,2,1,0,2.0,10875,17.6,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,45,1,0,18,0,0,0,0,1,0,20,0,8263,0,0,0,1,1,2.0,0,-366,80,446,46,False,0,1,20
Fabio Henrique_Tavares_255,0,51,0,0,0,12,0,5,39,2.0,1,0,255,0,1,196,2,1,0,4.3,10648,23.6,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,90,0,0,1,0,0,0,0,3,0,20,0,41590,1,2,0,1,5,17.0,2,5143,6915,1772,55,True,0,0,20
Fabián_Balbuena_464,0,0,0,0,0,0,0,0,0,0.0,0,0,464,0,0,192,0,0,0,0.0,10857,0.0,0,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,0,0,0,4,0,0,0,0,0,0,20,0,66028,0,0,0,0,2,0.0,0,-16417,161,16578,44,False,0,0,20
