first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Liam,Cooper,1,0,54,1961,39,15.3,569.6,257.0,2,424,84.2,5,0,3,0.4,43,DEF
Barry,Douglas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.0,38,DEF
Luke,Ayling,0,0,74,2679,48,382.5,669.6,269.0,1,528,132.1,9,0,5,2.6,44,DEF
Mateusz,Klich,3,5,85,2103,41,607.8,394.4,266.0,3,345,126.7,7,0,6,2.5,52,MID
Adam,Forshaw,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Stuart,Dallas,5,3,124,2690,47,357.9,593.0,386.0,11,566,134.0,9,0,5,24.7,51,DEF
Ezgjan,Alioski,2,0,76,1793,30,333.8,329.8,255.0,6,333,92.2,7,0,4,1.9,43,DEF
Patrick,Bamford,14,9,158,2499,46,293.2,699.0,1252.0,19,518,223.9,8,0,2,47.7,67,FWD
Jack,Harrison,7,6,124,2239,40,627.2,591.8,513.0,13,417,173.6,8,0,2,2.8,54,MID
Kalvin,Phillips,0,2,51,1932,31,426.1,414.4,72.0,2,318,91.4,7,0,7,0.9,49,MID
Hélder Wander,Sousa de Azevedo e Costa,3,4,56,923,21,129.8,207.8,254.0,2,144,59.0,2,0,0,2.2,50,MID
Tyler,Roberts,0,2,31,914,14,164.7,115.0,184.0,0,105,46.4,2,0,2,0.1,46,MID
Jay-Roy,Grot,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47,MID
Kamil,Miazek,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,40,GK
Ian Carlo,Poveda-Ocampo,0,0,10,245,4,47.5,42.6,87.0,0,29,17.7,0,0,0,0.3,42,MID
Jamie,Shackleton,0,0,16,453,11,45.7,52.0,18.0,0,69,11.4,1,0,0,0.0,48,MID
Pascal,Struijk,1,0,52,1511,26,32.9,365.6,153.0,2,295,55.0,5,0,2,5.5,40,DEF
Jordan,Stevens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,43,MID
Illan,Meslier,0,0,127,2610,47,10.0,852.4,0.0,19,640,86.4,9,0,0,6.9,47,GK
Leif,Davis,0,0,2,31,0,0.6,2.8,0.0,0,5,0.3,0,0,0,1.0,38,DEF
Oliver,Casey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,38,DEF
Robin,Koch,0,0,34,910,17,49.0,177.4,89.0,2,186,31.5,4,0,0,0.3,43,DEF
Rodrigo,Moreno,3,3,56,1083,20,327.3,230.6,464.0,8,209,102.1,2,0,3,1.9,57,FWD
Elia,Caprile,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Mateusz,Bogusz,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,MID
Diego,Llorente,0,0,20,630,8,37.6,125.8,92.0,0,129,25.7,2,0,1,0.1,44,DEF
Raphael,Dias Belloli,6,7,113,1976,32,772.0,609.2,809.0,11,417,219.2,7,0,3,15.9,57,MID
Jack,Jenkins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
